node_id_start,node_id_end,link,start_date,end_date
12160432,10000750,shareholder of,14-Aug-02,
12047997,10000750,shareholder of,14-Aug-02,
11005463,10000750,intermediary of,,
11003956,10001022,intermediary of,,
11011609,10001467,intermediary of,,
12084174,10001720,shareholder of,6-Feb-06,20-Mar-09
12084175,10001720,shareholder of,6-Feb-06,20-Mar-09
12084176,10001720,shareholder of,6-Feb-06,
12084177,10001720,shareholder of,6-Feb-06,
11009071,10001720,intermediary of,,
11007766,10002053,intermediary of,,
11008390,10002523,intermediary of,,
12135916,10002760,shareholder of,16-Jul-15,
12144215,10002760,shareholder of,16-Jul-15,
15003701,10002760,principal beneficiary of,,
11010312,10002760,intermediary of,,
11013276,10002834,intermediary of,,
11012917,10002849,intermediary of,,
11009990,10002879,intermediary of,,
11003097,10003049,intermediary of,,
11003097,10003434,intermediary of,,
12144214,10003596,shareholder of,22-Jul-15,
12142607,10003596,shareholder of,20-Jul-15,
15003701,10003596,principal beneficiary of,,
11010312,10003596,intermediary of,,
11010423,10003597,intermediary of,,
11011609,10004011,intermediary of,,
11004952,10004076,intermediary of,,
11003097,10004081,intermediary of,,
10003482,10004089,same name and registration date as,,
11003097,10004089,intermediary of,,
11007766,10004168,intermediary of,,
11009242,10004222,intermediary of,,
11002488,10004268,intermediary of,,
11004549,10004295,intermediary of,,
11003097,10004423,intermediary of,,
11002488,10004460,intermediary of,,
12161501,10004468,shareholder of,,
11011609,10004468,intermediary of,,
11003779,10004523,intermediary of,,
11002540,10004566,intermediary of,,
11008399,10004590,intermediary of,,
11010710,10004778,intermediary of,,
11002445,10004674,intermediary of,,
11004254,10004681,intermediary of,,
11002445,10004700,intermediary of,,
11011343,10004719,intermediary of,,
11004484,10004855,intermediary of,,
11007426,10004887,intermediary of,,
10004650,10004939,same name and registration date as,,
11003097,10004939,intermediary of,,
11005468,10005010,intermediary of,,
11002223,10005052,intermediary of,,
11010952,10005065,intermediary of,,
10004085,10005110,same name and registration date as,,
11002488,10005110,intermediary of,,
11006516,10005215,intermediary of,,
11009055,10005241,intermediary of,,
11005785,10005245,intermediary of,,
11005227,10005246,intermediary of,,
10003772,10005250,same name and registration date as,,
11002488,10005250,intermediary of,,
11013614,10005397,intermediary of,,
10004907,10005463,same name and registration date as,,
11003097,10005463,intermediary of,,
10002952,10005496,same name and registration date as,,
11013222,10005496,intermediary of,,
10005410,10005531,same name and registration date as,,
11006900,10005531,intermediary of,,
11005941,10005538,intermediary of,,
11006262,10005539,intermediary of,,
11003097,10005559,intermediary of,,
11003542,10005601,intermediary of,,
11007791,10005631,intermediary of,,
11013276,10005736,intermediary of,,
11009390,10005740,intermediary of,,
11009713,10005804,intermediary of,,
11002817,10005925,intermediary of,,
10005529,10005943,same name and registration date as,,
11004650,10005943,intermediary of,,
11006939,10005979,intermediary of,,
11007336,10006015,intermediary of,,
11013176,10006021,intermediary of,,
11004650,10006024,intermediary of,,
11003275,10006046,intermediary of,,
11003542,10006085,intermediary of,,
11013713,10006108,intermediary of,,
12078387,10006159,shareholder of,15-Mar-06,
11004372,10006159,intermediary of,,
11009713,10006202,intermediary of,,
11011997,10006222,intermediary of,,
11007047,10006244,intermediary of,,
11007336,10006266,intermediary of,,
11004816,10006295,intermediary of,,
11005785,10006304,intermediary of,,
10005776,10006308,same name and registration date as,,
11003097,10006308,intermediary of,,
11013172,10006313,intermediary of,,
11006867,10006326,intermediary of,,
11005451,10006366,intermediary of,,
10003814,10006374,same name and registration date as,,
11003097,10006374,intermediary of,,
11004059,10006378,intermediary of,,
10006329,10006388,same name and registration date as,,
11003542,10006388,intermediary of,,
11007222,10006397,intermediary of,,
11008955,10006482,intermediary of,,
11000911,10006541,intermediary of,,
11010871,10006580,intermediary of,,
11009390,10006670,intermediary of,,
11004650,10006722,intermediary of,,
11002453,10006696,intermediary of,,
11003838,10006763,intermediary of,,
11003097,10006807,intermediary of,,
11010823,10006851,intermediary of,,
10006104,10007007,same name and registration date as,,
11003097,10007007,intermediary of,,
11002234,10007050,intermediary of,,
10007401,10007418,same name and registration date as,,
11013222,10007418,intermediary of,,
10006006,10007423,same name and registration date as,,
11013222,10007423,intermediary of,,
11002540,10007433,intermediary of,,
10005635,10007523,same name and registration date as,,
11003097,10007523,intermediary of,,
11011426,10007634,intermediary of,,
11007528,10007663,intermediary of,,
12135917,10007720,shareholder of,16-Jul-15,
12144855,10007720,shareholder of,16-Jul-15,
15003701,10007720,principal beneficiary of,,
11010312,10007720,intermediary of,,
11007117,10007803,intermediary of,,
10004215,10007830,same name and registration date as,,
11007142,10007830,intermediary of,,
11007043,10007975,intermediary of,,
11010148,10007982,intermediary of,,
11003838,10008080,intermediary of,,
11003852,10008084,intermediary of,,
11013926,10008182,intermediary of,,
11004212,10008229,intermediary of,,
10004658,10008272,same name and registration date as,,
11003097,10008272,intermediary of,,
10008150,10008369,same name and registration date as,,
11002517,10008369,intermediary of,,
11008863,10008404,intermediary of,,
10006796,10008422,same name and registration date as,,
11002445,10008422,intermediary of,,
11003107,10008660,intermediary of,,
11013795,10008690,intermediary of,,
11008845,10008695,intermediary of,,
10004907,10008752,same name and registration date as,,
11003097,10008752,intermediary of,,
11009187,10008778,intermediary of,,
11012933,10008837,intermediary of,,
11011609,10008842,intermediary of,,
11011609,10008854,intermediary of,,
11005028,10009194,intermediary of,,
11002900,10009223,intermediary of,,
11012312,10009266,intermediary of,,
10007306,10009399,same name and registration date as,,
11002445,10009399,intermediary of,,
11003098,10009427,intermediary of,,
12049620,10009433,shareholder of,27-Mar-15,
12049589,10009433,shareholder of,3-Mar-95,27-Mar-15
12049590,10009433,shareholder of,3-Mar-95,27-Mar-15
12049591,10009433,shareholder of,27-Mar-15,
12049592,10009433,shareholder of,3-Mar-95,27-Mar-15
12049593,10009433,shareholder of,27-Mar-15,
12049594,10009433,shareholder of,3-Mar-95,27-Mar-15
12049595,10009433,shareholder of,3-Mar-95,27-Mar-15
11003563,10009433,intermediary of,,
11010952,10009482,intermediary of,,
11002688,10009503,intermediary of,,
11009142,10009548,intermediary of,,
11006332,10009574,intermediary of,,
11011609,10009587,intermediary of,,
11003729,10009623,intermediary of,,
11003635,10009635,intermediary of,,
11010414,10009735,intermediary of,,
11010111,10009794,intermediary of,,
11005563,10009843,intermediary of,,
11013206,10009904,intermediary of,,
12132494,10009991,shareholder of,19-Sep-13,
11006557,10009991,intermediary of,,
11011938,10010004,intermediary of,,
12049466,10010033,shareholder of,22-Sep-98,
12049465,10010033,shareholder of,22-Sep-98,
11001731,10010033,intermediary of,,
11005468,10010040,intermediary of,,
11014033,10010064,intermediary of,,
11003343,10010192,intermediary of,,
11000614,10010260,intermediary of,,
10004606,10010335,same name and registration date as,,
11004650,10010335,intermediary of,,
11007974,10010336,intermediary of,,
12092386,10010368,shareholder of,18-May-99,
12092387,10010368,shareholder of,18-May-99,
12092388,10010368,shareholder of,18-May-99,
12092389,10010368,shareholder of,18-May-99,
11001731,10010368,intermediary of,,
11006516,10010378,intermediary of,,
12174490,10010451,shareholder of,21-Jan-00,
11011609,10010451,intermediary of,,
11003029,10010887,intermediary of,,
11006542,10010916,intermediary of,,
11011609,10010991,intermediary of,,
11001478,10011001,intermediary of,,
11010421,10011015,intermediary of,,
11011683,10011023,intermediary of,,
12011204,10011075,shareholder of,14-May-96,
11001342,10011075,intermediary of,,
12049857,10011240,shareholder of,13-Jan-00,
12049858,10011240,shareholder of,13-Jan-00,
11004152,10011240,intermediary of,,
12191415,10011327,shareholder of,14-Sep-10,
11001877,10011327,intermediary of,,
10006042,10011356,same name and registration date as,,
11005504,10011356,intermediary of,,
11002758,10011441,intermediary of,,
11010455,10011477,intermediary of,,
11004650,10011489,intermediary of,,
11010958,10011490,intermediary of,,
11010065,10011547,intermediary of,,
11001672,10011624,intermediary of,,
11010958,10011720,intermediary of,,
11010958,10011727,intermediary of,,
12092379,10011934,shareholder of,27-Jun-00,
12092411,10011934,shareholder of,27-Jun-00,
12092410,10011934,shareholder of,27-Jun-00,
12092380,10011934,shareholder of,27-Jun-00,
11001731,10011934,intermediary of,,
11011609,10012030,intermediary of,,
11007749,10012304,intermediary of,,
11000059,10012395,intermediary of,,
12023471,10012426,shareholder of,5-Apr-00,
12023469,10012426,shareholder of,5-Apr-00,
12023470,10012426,shareholder of,5-Apr-00,
12023467,10012426,shareholder of,5-Apr-00,
12023468,10012426,shareholder of,5-Apr-00,
12023465,10012426,shareholder of,5-Apr-00,
12023466,10012426,shareholder of,5-Apr-00,
12022576,10012426,shareholder of,5-Apr-00,
12023464,10012426,shareholder of,5-Apr-00,
12022575,10012426,shareholder of,5-Apr-00,
11002023,10012426,intermediary of,,
12049227,10012549,shareholder of,25-Feb-99,
12049228,10012549,shareholder of,25-Feb-99,
12049225,10012549,shareholder of,25-Feb-99,
12049226,10012549,shareholder of,25-Feb-99,
11002762,10012549,intermediary of,,
11006332,10012592,intermediary of,,
11003411,10012663,intermediary of,,
11008458,10012689,intermediary of,,
11008458,10012690,intermediary of,,
11011178,10012811,intermediary of,,
11011609,10013067,intermediary of,,
11011609,10013072,intermediary of,,
11011609,10013073,intermediary of,,
11011609,10013078,intermediary of,,
12011462,10013096,shareholder of,2-Feb-00,
12011463,10013096,shareholder of,2-Feb-00,
12011464,10013096,shareholder of,2-Feb-00,
12011465,10013096,shareholder of,2-Feb-00,
11004324,10013096,intermediary of,,
12143461,10013312,shareholder of,28-Aug-14,
12143460,10013312,shareholder of,28-Aug-14,
11006557,10013312,intermediary of,,
11011609,10013362,intermediary of,,
11003918,10013547,intermediary of,,
11005563,10013708,intermediary of,,
12177403,10013730,shareholder of,22-Nov-12,
12103527,10013730,shareholder of,22-Nov-12,
13009976,10013730,beneficiary of,,
11009544,10013730,intermediary of,,
11006516,10013825,intermediary of,,
12219324,10013999,shareholder of,8-Sep-09,
12219323,10013999,shareholder of,8-Sep-09,
11007024,10013999,intermediary of,,
12176371,10014037,shareholder of,29-May-08,
11011609,10014037,intermediary of,,
11003467,10014337,intermediary of,,
12176370,10014712,shareholder of,16-Jun-07,
11011609,10014712,intermediary of,,
12176370,10014909,shareholder of,18-Jun-07,
11011609,10014909,intermediary of,,
12112818,10014929,shareholder of,14-Mar-07,
11011609,10014929,intermediary of,,
11005028,10014987,intermediary of,,
11003582,10015176,intermediary of,,
12176370,10015075,shareholder of,24-Oct-07,
11011609,10015075,intermediary of,,
12130724,10015260,shareholder of,25-Feb-14,
12117080,10015260,shareholder of,13-Aug-01,25-Feb-14
11003916,10015260,intermediary of,,
11000902,10015290,intermediary of,,
11011609,10015373,intermediary of,,
12023678,10015470,shareholder of,13-Nov-00,29-Nov-13
12023680,10015470,shareholder of,13-Nov-00,29-Nov-13
12023679,10015470,shareholder of,13-Nov-00,29-Nov-13
12023682,10015470,shareholder of,29-Nov-13,
12023681,10015470,shareholder of,29-Nov-13,
12023684,10015470,shareholder of,13-Nov-00,29-Nov-13
12023683,10015470,shareholder of,29-Nov-13,
11007886,10015470,intermediary of,,
12211590,10015701,shareholder of,7-Aug-14,
13003184,10015701,beneficiary of,,
11006557,10015701,intermediary of,,
12176370,10015727,shareholder of,27-Sep-07,
11011609,10015727,intermediary of,,
12083831,10015778,shareholder of,30-Oct-14,
11006557,10015778,intermediary of,,
11011609,10015897,intermediary of,,
11011609,10015892,intermediary of,,
11011609,10015917,intermediary of,,
12090132,10016031,shareholder of,13-Nov-00,
12090205,10016031,shareholder of,13-Nov-00,
12090206,10016031,shareholder of,13-Nov-00,
12090207,10016031,shareholder of,13-Nov-00,
11007886,10016031,intermediary of,,
11001462,10016013,intermediary of,,
10004595,10016042,same name and registration date as,,
11004002,10016042,intermediary of,,
12008349,10016055,shareholder of,21-Aug-02,
11002705,10016055,intermediary of,,
11011609,10016088,intermediary of,,
11011609,10016152,intermediary of,,
12170106,10016175,shareholder of,18-Jan-02,
13010296,10016175,beneficiary of,,
11011609,10016175,intermediary of,,
12129094,10016396,shareholder of,17-May-13,6-Jan-14
12129094,10016396,shareholder of,20-Aug-15,
12122883,10016396,shareholder of,6-Jan-14,20-Aug-15
13003683,10016396,beneficiary of,,
11009156,10016396,intermediary of,,
12079930,10016289,shareholder of,23-Sep-15,
12079929,10016289,shareholder of,,23-Sep-15
11003343,10016289,intermediary of,,
12048217,10016320,shareholder of,30-Oct-14,
11006557,10016320,intermediary of,,
12191415,10016446,shareholder of,20-Sep-10,
11001877,10016446,intermediary of,,
11001189,10016500,intermediary of,,
11003343,10016660,intermediary of,,
12197549,10016692,shareholder of,24-Oct-12,
12197550,10016692,shareholder of,24-Oct-12,
11008964,10016692,intermediary of,,
12212580,10017082,shareholder of,24-Oct-12,
11008964,10017082,intermediary of,,
12131121,10017412,shareholder of,8-Aug-06,
11007353,10017412,intermediary of,,
11003916,10017424,intermediary of,,
12200649,10017434,shareholder of,31-Aug-06,
11011609,10017434,intermediary of,,
11011609,10017484,intermediary of,,
12078305,10017490,shareholder of,20-Jun-03,
12078307,10017490,shareholder of,20-Jun-03,
12078306,10017490,shareholder of,20-Jun-03,
11008008,10017490,intermediary of,,
11000614,10018137,intermediary of,,
12199855,10018829,shareholder of,16-Oct-03,
12199854,10018829,shareholder of,16-Oct-03,
12199882,10018829,shareholder of,16-Oct-03,
12199857,10018829,shareholder of,16-Oct-03,
12199884,10018829,shareholder of,16-Oct-03,
12199883,10018829,shareholder of,16-Oct-03,
12199856,10018829,shareholder of,16-Oct-03,
12199885,10018829,shareholder of,16-Oct-03,
12199853,10018829,shareholder of,16-Oct-03,
12199852,10018829,shareholder of,16-Oct-03,
11004213,10018829,intermediary of,,
12203963,10018978,shareholder of,9-Jun-15,
13010494,10018978,beneficiary of,,
11006557,10018978,intermediary of,,
11011609,10019113,intermediary of,,
12050404,10019177,shareholder of,27-Jul-06,
12050405,10019177,shareholder of,27-Jul-06,
12050403,10019177,shareholder of,27-Jul-06,
12051008,10019177,shareholder of,27-Jul-06,
12050406,10019177,shareholder of,27-Jul-06,
12050407,10019177,shareholder of,16-May-01,27-Jul-06
11001450,10019177,intermediary of,,
11011609,10019236,intermediary of,,
12082620,10019249,shareholder of,15-Jun-05,
11011609,10019249,intermediary of,,
11011609,10019401,intermediary of,,
12091168,10019583,shareholder of,21-Jun-01,29-Jul-15
12133611,10019583,shareholder of,29-Jul-15,
12091167,10019583,shareholder of,21-Jun-01,29-Jul-15
12133610,10019583,shareholder of,29-Jul-15,
12133471,10019583,shareholder of,29-Jul-15,
12091166,10019583,shareholder of,21-Jun-01,29-Jul-15
12091165,10019583,shareholder of,21-Jun-01,29-Jul-15
11005728,10019583,intermediary of,,
11006332,10019598,intermediary of,,
11006332,10019615,intermediary of,,
11012123,10019638,intermediary of,,
12131121,10019892,shareholder of,8-Aug-06,
11007353,10019892,intermediary of,,
12051556,10019945,shareholder of,30-Jun-15,
12051557,10019945,shareholder of,27-Mar-01,30-Jun-15
12051558,10019945,shareholder of,27-Mar-01,30-Jun-15
12051559,10019945,shareholder of,30-Jun-15,
12051560,10019945,shareholder of,27-Mar-01,30-Jun-15
12051561,10019945,shareholder of,27-Mar-01,30-Jun-15
12051562,10019945,shareholder of,30-Jun-15,
12051563,10019945,shareholder of,30-Jun-15,
11006516,10019945,intermediary of,,
11011609,10019958,intermediary of,,
12050223,10020001,shareholder of,31-Aug-01,
12050221,10020001,shareholder of,31-Aug-01,
12050222,10020001,shareholder of,31-Aug-01,
12050169,10020001,shareholder of,31-Aug-01,
12050220,10020001,shareholder of,31-Aug-01,
11003343,10020001,intermediary of,,
12174914,10019969,shareholder of,19-Mar-07,
11012823,10019969,intermediary of,,
11006332,10020034,intermediary of,,
11000727,10020435,intermediary of,,
11000614,10020561,intermediary of,,
12051015,10020573,shareholder of,2-Aug-01,
11001731,10020573,intermediary of,,
12050005,10020687,shareholder of,12-Sep-01,
11001752,10020687,intermediary of,,
12191415,10021040,shareholder of,5-Jan-10,
11001877,10021040,intermediary of,,
12074975,10021124,shareholder of,16-Jun-05,
11011609,10021124,intermediary of,,
12129641,10021309,shareholder of,4-Sep-09,
11006202,10021309,intermediary of,,
11011609,10021475,intermediary of,,
11004885,10021636,intermediary of,,
12074049,10021678,shareholder of,6-Aug-10,29-Jul-13
12109749,10021678,shareholder of,29-Jul-13,8-May-14
12162626,10021678,shareholder of,8-May-14,
11009209,10021678,intermediary of,,
11011609,10021683,intermediary of,,
11001205,10021913,intermediary of,,
11000614,10021983,intermediary of,,
12141867,10021995,shareholder of,26-Apr-10,
11008964,10021995,intermediary of,,
11011609,10022132,intermediary of,,
12131121,10022231,shareholder of,8-Aug-06,
11007353,10022231,intermediary of,,
12029434,10022276,shareholder of,21-Apr-08,
12029625,10022276,shareholder of,24-Aug-06,21-Apr-08
12029626,10022276,shareholder of,21-Apr-08,
11011609,10022276,intermediary of,,
11003136,10022285,intermediary of,,
12113470,10022481,shareholder of,8-Nov-07,
11007638,10022481,intermediary of,,
12123699,10022820,shareholder of,6-Jan-09,
11011609,10022820,intermediary of,,
11006332,10023256,intermediary of,,
12022657,10023265,shareholder of,14-Sep-01,
12022658,10023265,shareholder of,14-Sep-01,
11001731,10023265,intermediary of,,
12118542,10023396,shareholder of,26-Nov-08,
11007347,10023396,intermediary of,,
12022659,10023439,shareholder of,14-Sep-01,
12022660,10023439,shareholder of,14-Sep-01,
11005906,10023439,intermediary of,,
11007060,10023429,intermediary of,,
11013391,10023447,intermediary of,,
11000614,10023627,intermediary of,,
12055889,10023692,shareholder of,8-May-02,17-Dec-02
12055888,10023692,shareholder of,17-Dec-02,
12055887,10023692,shareholder of,8-May-02,17-Dec-02
11001752,10023692,intermediary of,,
12122864,10023841,shareholder of,8-May-14,
12114146,10023841,shareholder of,8-May-14,
12119540,10023841,shareholder of,8-May-14,
11001894,10023841,intermediary of,,
12201798,10024312,shareholder of,7-Jan-10,
11011609,10024312,intermediary of,,
12141049,10024323,shareholder of,6-Jul-09,
11008964,10024323,intermediary of,,
10006115,10024579,same name and registration date as,,
11005813,10024579,intermediary of,,
12205279,10024644,shareholder of,13-Aug-09,
12200718,10024644,shareholder of,13-Aug-09,
11005585,10024644,intermediary of,,
12099204,10024752,shareholder of,31-Jan-08,
12099203,10024752,shareholder of,31-Jan-08,
11002948,10024752,intermediary of,,
12191415,10025053,shareholder of,7-Jan-10,
11001877,10025053,intermediary of,,
11000614,10025542,intermediary of,,
12022392,10025685,shareholder of,9-Apr-14,
12022409,10025685,shareholder of,9-Apr-14,
12022410,10025685,shareholder of,12-Feb-13,9-Apr-14
12022411,10025685,shareholder of,12-Feb-13,9-Apr-14
12022390,10025685,shareholder of,12-Feb-13,9-Apr-14
12022391,10025685,shareholder of,19-Dec-05,12-Feb-13
11003881,10025685,intermediary of,,
12050203,10025854,shareholder of,14-Sep-01,
12050185,10025854,shareholder of,14-Sep-01,
11005906,10025854,intermediary of,,
11011609,10025921,intermediary of,,
12212862,10026046,shareholder of,13-Aug-09,
11008964,10026046,intermediary of,,
12050203,10026218,shareholder of,27-Sep-01,
12050227,10026218,shareholder of,27-Sep-01,
11005906,10026218,intermediary of,,
11000614,10026302,intermediary of,,
12158173,10026471,shareholder of,8-Oct-10,
11011609,10026471,intermediary of,,
12213186,10026580,shareholder of,6-Jul-09,
12213245,10026580,shareholder of,6-Jul-09,
11008964,10026580,intermediary of,,
12112818,10026796,shareholder of,,
11011609,10026796,intermediary of,,
11000614,10026854,intermediary of,,
12113281,10027787,shareholder of,6-Jun-07,
12113280,10027787,shareholder of,6-Jun-07,
11011609,10027787,intermediary of,,
11011609,10027789,intermediary of,,
12125532,10028116,shareholder of,30-Aug-10,
12118539,10028116,shareholder of,16-Aug-13,
11005188,10028116,intermediary of,,
11010252,10028185,intermediary of,,
12092517,10028213,shareholder of,26-Jul-03,
11002674,10028213,intermediary of,,
12093553,10028355,shareholder of,14-May-03,
11001571,10028355,intermediary of,,
12134808,10028474,shareholder of,14-Jan-14,
11010312,10028474,intermediary of,,
12010246,10028486,shareholder of,5-Apr-03,
12010245,10028486,shareholder of,5-Apr-03,
11008711,10028486,intermediary of,,
12024534,10028502,shareholder of,8-Aug-03,
12024599,10028502,shareholder of,8-Aug-03,
12024532,10028502,shareholder of,8-Aug-03,
12024533,10028502,shareholder of,8-Aug-03,
11001450,10028502,intermediary of,,
11003851,10028732,intermediary of,,
12093644,10028769,shareholder of,30-May-13,
12094101,10028769,shareholder of,8-Sep-04,30-May-13
12094102,10028769,shareholder of,8-Sep-04,30-May-13
12094103,10028769,shareholder of,8-Sep-04,30-May-13
12093643,10028769,shareholder of,8-Sep-04,30-May-13
11008964,10028769,intermediary of,,
12165796,10028950,shareholder of,8-Apr-13,
12165901,10028950,shareholder of,8-Apr-13,
11012917,10028950,intermediary of,,
11004960,10029064,intermediary of,,
12051504,10029187,shareholder of,21-Aug-03,23-Jul-14
12051505,10029187,shareholder of,21-Aug-03,23-Jul-14
12051503,10029187,shareholder of,21-Aug-03,23-Jul-14
12051502,10029187,shareholder of,23-Jul-14,
12051501,10029187,shareholder of,21-Aug-03,23-Jul-14
13009364,10029187,beneficiary of,,
11003036,10029187,intermediary of,,
11010400,10029331,intermediary of,,
12145022,10029542,shareholder of,20-Jan-14,
12102223,10029542,shareholder of,7-Jan-14,20-Jan-14
13003091,10029542,beneficiary of,,
11010312,10029542,intermediary of,,
12208691,10029696,shareholder of,20-Jan-14,
13007508,10029696,beneficiary of,,
11010312,10029696,intermediary of,,
12008542,10029702,shareholder of,21-Apr-04,
12008541,10029702,shareholder of,21-Apr-04,
11006688,10029702,intermediary of,,
12051092,10029872,shareholder of,27-Sep-03,
11011254,10029872,intermediary of,,
12092524,10029877,shareholder of,27-Sep-03,
12092523,10029877,shareholder of,27-Sep-03,
12092728,10029877,shareholder of,27-Sep-03,
12092525,10029877,shareholder of,27-Sep-03,
11011254,10029877,intermediary of,,
12096086,10029937,shareholder of,12-Feb-03,
12096085,10029937,shareholder of,12-Feb-03,
11007060,10029937,intermediary of,,
11013219,10030576,intermediary of,,
10018986,10030684,same name and registration date as,,
11002300,10030684,intermediary of,,
11003062,10030837,intermediary of,,
11003855,10030866,intermediary of,,
12093547,10031131,shareholder of,11-Apr-13,
12093548,10031131,shareholder of,,11-Apr-13
12093549,10031131,shareholder of,11-Apr-13,
12093547,10031131,shareholder of,,11-Apr-13
12093548,10031131,shareholder of,11-Apr-13,
12093550,10031131,shareholder of,,11-Apr-13
12093549,10031131,shareholder of,,11-Apr-13
11012782,10031131,intermediary of,,
10004883,10031151,same name and registration date as,,
11002300,10031151,intermediary of,,
12083433,10031251,shareholder of,10-Jan-04,
12083432,10031251,shareholder of,10-Jan-04,
12083435,10031251,shareholder of,10-Jan-04,
12083434,10031251,shareholder of,10-Jan-04,
11001731,10031251,intermediary of,,
11011609,10031556,intermediary of,,
11003366,10031721,intermediary of,,
11002436,10031955,intermediary of,,
12023992,10031936,shareholder of,4-Jan-05,
12024049,10031936,shareholder of,4-Jan-05,
12024048,10031936,shareholder of,4-Jan-05,
12024047,10031936,shareholder of,4-Jan-05,
11012761,10031936,intermediary of,,
12140946,10031962,shareholder of,4-Feb-15,
13005628,10031962,beneficiary of,,
11011609,10031962,intermediary of,,
11003855,10032088,intermediary of,,
11010269,10032319,intermediary of,,
10011766,10032634,same name and registration date as,,
11002300,10032634,intermediary of,,
11008450,10032747,intermediary of,,
11011223,10032775,intermediary of,,
12057106,10033190,shareholder of,10-Jan-04,
12057104,10033190,shareholder of,10-Jan-04,
12057105,10033190,shareholder of,10-Jan-04,
12057103,10033190,shareholder of,10-Jan-04,
11001731,10033190,intermediary of,,
12056872,10033353,shareholder of,4-Feb-05,24-Jun-10
12056873,10033353,shareholder of,24-Jun-10,
12056818,10033353,shareholder of,4-Feb-05,24-Jun-10
12056871,10033353,shareholder of,4-Feb-05,24-Jun-10
12056870,10033353,shareholder of,4-Feb-05,24-Jun-10
11005618,10033353,intermediary of,,
11002300,10033360,intermediary of,,
11007708,10033414,intermediary of,,
11001622,10033419,intermediary of,,
11004533,10033440,intermediary of,,
12056083,10033701,shareholder of,7-Feb-06,7-Nov-12
12056084,10033701,shareholder of,7-Feb-06,7-Nov-12
12150812,10033701,shareholder of,7-Nov-12,
13003523,10033701,beneficiary of,,
11013203,10033701,intermediary of,,
12096105,10033772,shareholder of,16-Feb-05,
12149299,10033772,shareholder of,16-Feb-05,
12096165,10033772,shareholder of,16-Feb-05,
13003079,10033772,beneficiary of,,
11002331,10033772,intermediary of,,
12052206,10034051,shareholder of,1-May-04,
12052212,10034051,shareholder of,1-May-04,
12052211,10034051,shareholder of,1-May-04,
12052208,10034051,shareholder of,1-May-04,
12052207,10034051,shareholder of,1-May-04,
12052210,10034051,shareholder of,1-May-04,
12052209,10034051,shareholder of,1-May-04,
11012123,10034051,intermediary of,,
11004533,10034223,intermediary of,,
12176318,10034232,shareholder of,25-Jun-12,
11011609,10034232,intermediary of,,
12159697,10034239,shareholder of,14-Sep-10,
11011609,10034239,intermediary of,,
11013891,10034314,intermediary of,,
11011609,10034732,intermediary of,,
12052287,10034841,shareholder of,22-Apr-04,
12052286,10034841,shareholder of,22-Apr-04,
12052285,10034841,shareholder of,22-Apr-04,
12052288,10034841,shareholder of,22-Apr-04,
11003045,10034841,intermediary of,,
11011609,10035148,intermediary of,,
11011609,10035153,intermediary of,,
11001393,10035298,intermediary of,,
12055910,10035523,shareholder of,27-Nov-03,
12055911,10035523,shareholder of,27-Nov-03,
12055912,10035523,shareholder of,27-Nov-03,
12055913,10035523,shareholder of,27-Nov-03,
11007809,10035523,intermediary of,,
11011609,10035555,intermediary of,,
