node_id,name,original_name,former_name,jurisdiction_description,address,incorporation_date,inactivation_date,struck_off_date,status,service_provider,countries
10004268,GIFFORD SERVICES LLC,GIFFORD SERVICES LLC,,Nevada,"GIFFORD SERVICES LLC 520 S. 7TH STREET  SUITE C LAS VEGAS, NV 89101 U.  S.  A.",20-May-08,25-Jan-12,1-Jun-10,Dissolved,Mossack Fonseca,United States
10004423,EYDEN GROUP LLC,EYDEN GROUP LLC,,Nevada,"EYDEN GROUP LLC 520 S. 7TH STREET SUITE C LAS VEGAS, NV 89101 U.  S.  A.",29-Sep-06,22-Jul-11,1-Oct-08,Defaulted,Mossack Fonseca,United States
10004595,ITS INFO TECH LLC,ITS INFO TECH LLC,,Nevada,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,10-Aug-09,19-Dec-11,1-Sep-13,Dissolved,Mossack Fonseca,Bahamas
10004606,JIMSON HOLDING LTD.,JIMSON HOLDING LTD.,,Nevada,PARESOCI COMPAÑÍA LIMITADA KENNEDY NORTE; AVE. MIGUEL H. ALCIVAR; MANZANA 506; TORRES DEL NORTE; TORRE A; PISO 8; OF. 810 GUAYAQUIL; ECUADOR,7-Jan-09,14-Apr-15,1-Feb-16,In transition,Mossack Fonseca,Ecuador
10004650,BLANTMORE INVESTMENTS LIMITED COMPANY,BLANTMORE INVESTMENTS LIMITED COMPANY,,Nevada,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,29-Aug-01,18-Sep-13,1-Sep-15,Inactivated,Mossack Fonseca,Bahamas
10004658,STAR MEDICAL HOLDINGS LLC,STAR MEDICAL HOLDINGS LLC,,Nevada,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,6-Nov-02,14-May-12,1-Dec-13,Defaulted,Mossack Fonseca,Bahamas
10004883,BRECKNOCK CORPORATION,BRECKNOCK CORPORATION,,Panama,MOSSFON TRUST CORPORATION APARTADO 0832-0886  WORLD TRADE CENTER PANAMA REP. DE PANAMA,10-Feb-81,5-Aug-11,15-Jul-12,Changed agent,Mossack Fonseca,Panama
10004887,CONTINENTAL AIR & GAS BLOWER LLC,CONTINENTAL AIR & GAS BLOWER LLC,,Nevada,"CONTINENTAL AIR & GAS BLOWER LLC 520 S. 7TH STREET  SUITE C LAS VEGAS, NV 89101 U.  S.  A.",24-Nov-10,18-Dec-12,1-Dec-12,Dissolved,Mossack Fonseca,United States
10004907,MILLENNIUM BROKER MANAGEMENT INTERNATIONAL LLC,MILLENNIUM BROKER MANAGEMENT INTERNATIONAL LLC,,Nevada,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,10-Dec-03,23-Jan-09,1-Jan-10,Defaulted,Mossack Fonseca,Bahamas
10005010,DUNNINGTON PROPERTIES LLC,DUNNINGTON PROPERTIES LLC,,Nevada,"DUNNINGTON PROPERTIES LLC 520 S. 7TH STREET  SUITE C LAS VEGAS, NV 89101 U.  S.  A.",6-Oct-08,2-Mar-15,1-Nov-10,Defaulted,Mossack Fonseca,United States
10005052,SADDLE MARKETING LLC,SADDLE MARKETING LLC,,Nevada,"SADDLE MARKETING LLC SADDLE MARKETING LLC 520 S. 7TH STREET  SUITE C LAS VEGAS, NV 89101 U.  S.  A.",18-Oct-01,30-Dec-05,1-Nov-03,Bad debt account,Mossack Fonseca,United States
10005410,ZELDA INTERNATIONAL LC,ZELDA INTERNATIONAL LC,,Nevada,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,5-Aug-11,7-Nov-13,1-Sep-15,Dissolved,Mossack Fonseca,Bahamas
10005463,MILLENIUM BROKER MANAGEMENT INTERNATIONAL LLC,MILLENIUM BROKER MANAGEMENT INTERNATIONAL LLC,,Nevada,"MILLENIUM BROKER MANAGEMENT INTERNATIONAL LLC 520 S. 7TH STREET SUITE C LAS VEGAS, NV 89101 U.  S.  A.",10-Dec-03,3-Aug-07,1-Jan-06,Inactivated,Mossack Fonseca,United States
10005529,LATINAMERICAN GROUP INVESTMENT LLC,LATINAMERICAN GROUP INVESTMENT LLC,,Nevada,PARESOCI COMPAÑÍA LIMITADA KENNEDY NORTE; AVE. MIGUEL H. ALCIVAR; MANZANA 506; TORRES DEL NORTE; TORRE A; PISO 8; OF. 810 GUAYAQUIL; ECUADOR,20-Jan-09,,,Active,Mossack Fonseca,Ecuador
10005559,BALMONT HOLDINGS LTD.,BALMONT HOLDINGS LTD.,,Nevada,"BALMONT HOLDINGS LTD. 520 S. 7TH STREET SUITE C LAS VEGAS, NV 89101 U.  S.  A.",15-Jun-06,7-Oct-11,,Active,Mossack Fonseca,United States
10005635,IVY LANE GROUP LLC,IVY LANE GROUP LLC,,Nevada,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,29-Jun-06,24-Sep-08,1-Jul-09,Defaulted,Mossack Fonseca,Bahamas
10005776,ABBLE HOLDING LLC,ABBLE HOLDING LLC,,Nevada,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,17-Aug-06,11-Sep-15,1-Sep-15,Defaulted,Mossack Fonseca,Bahamas
10006006,TARKETT TRADING LLC,TARKETT TRADING LLC,,Nevada,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,8-Apr-11,8-May-13,1-May-15,Dissolved,Mossack Fonseca,Bahamas
10006024,PACIFIC COAST REAL PROPERTY LLC,PACIFIC COAST REAL PROPERTY LLC,,Nevada,"PACIFIC COAST REAL PROPERTY LLC 520 S. 7TH STREET  SUITE C LAS VEGAS, NV 89101 U.  S.  A.",23-Mar-09,,,Active,Mossack Fonseca,United States
10006042,DURALEX CONSULTANTS LC,DURALEX CONSULTANTS LC,,Nevada,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,16-Jun-08,30-Jun-12,1-Jul-13,Dissolved,Mossack Fonseca,Bahamas
10006046,MF LLC-MF  COMPANY INFORMATION & REGISTRATION LLC,MF LLC-MF  COMPANY INFORMATION & REGISTRATION LLC,,Nevada,"MF LLC-MF  COMPANY INFORMATION & REGISTRATION LLC 520 S. 7TH STREET  SUITE C LAS VEGAS, NV 89101 U.  S.  A.",27-May-04,16-Jun-11,1-Jun-06,Defaulted,Mossack Fonseca,United States
10006085,YALE HOLDINGS LTD.,YALE HOLDINGS LTD.,,Nevada,"YALE HOLDINGS LTD. 520 S. 7TH STREET SUITE C LAS VEGAS, NV 89101 U.  S.  A.",17-Jan-06,18-Jan-07,1-Feb-08,Dissolved,Mossack Fonseca,United States
10006104,JAGUAR CAPITAL L.L.C.,JAGUAR CAPITAL L.L.C.,,Nevada,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,27-Jun-06,10-Oct-13,1-Jul-15,Dissolved,Mossack Fonseca,Bahamas
10006115,FICARTA INTERNATIONAL ASSETS LTD.,FICARTA INTERNATIONAL ASSETS LTD.,,Nevada,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,2-Feb-10,1-Mar-12,1-Mar-12,Defaulted,Mossack Fonseca,Bahamas
10006295,WHITE SANDAL INVESTMENT CO. LTD.,WHITE SANDAL INVESTMENT CO. LTD.,,Nevada,"WHITE SANDAL INVESTMENT CO. LTD. 520 S. 7TH STREET  SUITE C LAS VEGAS, NV 89101 U.  S.  A.",20-Jul-09,,,Active,Mossack Fonseca,United States
10006329,ARKLOW TRADING LLC,ARKLOW TRADING LLC,,Nevada,MR. THOMAS SHORTT; BARON GALMOY 12 HANDFORD PLACE; ENTRANCE BETWEEN NO.1 AND NO.3  QUEENS ROADLEXDEN  CO3 3NY ENGLAND COLCHESTER UNITED KINGDOM,28-Mar-06,22-Jan-14,1-Apr-15,Dissolved,Mossack Fonseca,United Kingdom
10006722,KENDON REAL ESTATE LTD.,KENDON REAL ESTATE LTD.,,Nevada,"KENDON REAL ESTATE LTD. 520 S. 7TH STREET  SUITE C LAS VEGAS, NV 89101 U.  S.  A.",10-Apr-09,,,Active,Mossack Fonseca,United States
10006796,ALABAMA INTERNATIONAL LLC,ALABAMA INTERNATIONAL LLC,,Nevada,MOSSACK FONSECA & CO. (PERU) CORP. SAFFREY SQUARE SUITE 205; BANK LANE P. O. BOX N-8188 NASSAU; BAHAMAS **S.I.**,27-May-03,6-Aug-10,1-Jun-12,Dissolved,Mossack Fonseca,Bahamas
10007160,BARSTON MANAGEMENT LLC,BARSTON MANAGEMENT LLC,,Nevada,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,15-May-06,4-Jun-12,1-Jun-12,Defaulted,Mossack Fonseca,Bahamas
10007306,CICELY TRADING LLC,CICELY TRADING LLC,,Nevada,MOSSACK FONSECA & CO. (PERU) CORP. SAFFREY SQUARE SUITE 205; BANK LANE P. O. BOX N-8188 NASSAU; BAHAMAS **S.I.**,14-Aug-02,,,Active,Mossack Fonseca,Bahamas
10007393,PLATINUM ASSETS ENTERPRISES LTD.,PLATINUM ASSETS ENTERPRISES LTD.,,Nevada,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,26-Feb-07,30-Jan-15,1-Mar-16,Dissolved,Mossack Fonseca,Bahamas
10007401,HEANOR CONSULTING LTD.,HEANOR CONSULTING LTD.,,Nevada,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,13-Jan-11,,,Active,Mossack Fonseca,Bahamas
10007534,GAZEL INTERNATIONAL LLC,GAZEL INTERNATIONAL LLC,,Nevada,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,21-Oct-04,29-Sep-11,1-Nov-12,Defaulted,Mossack Fonseca,Bahamas
10007803,ISART INVESTMENTS GROUP LLC,ISART INVESTMENTS GROUP LLC,,Nevada,"ISART INVESTMENTS GROUP LLC 520 S. 7TH STREET  SUITE C LAS VEGAS, NV 89101 U.  S.  A.",18-Dec-09,,,Active,Mossack Fonseca,United States
10008150,FUTURE BEST INVESTMENTS LLC,FUTURE BEST INVESTMENTS LLC,,Nevada,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,21-Jul-11,18-Dec-12,1-Aug-14,Dissolved,Mossack Fonseca,Bahamas
10008404,DANAMO GROUP LIMITED,DANAMO GROUP LIMITED,,Nevada,"DANAMO GROUP LIMITED 520 S. 7TH STREET  SUITE C LAS VEGAS, NV 89101 U.  S.  A.",24-Dec-09,,,Active,Mossack Fonseca,United States
10009266,LATIN AMERICAN MARKETING SERVICES (LAMSER) INC.,LATIN AMERICAN MARKETING SERVICES (LAMSER) INC.,,Panama,"SR. GEORGE KECSKEMETHY 1111 CRANDON BLVD. B-808 KEY BISCAYNE, FL. 33149 U.S.A. *S.I.*",21-Sep-78,29-Mar-06,15-Jan-08,Dissolved,Mossack Fonseca,United States
10010040,CUVERDON INVESTMENTS LLC,CUVERDON INVESTMENTS LLC,,Nevada,"CUVERDON INVESTMENTS LLC 520 S. 7TH STREET  SUITE C LAS VEGAS, NV 89101 U.  S.  A.",25-Sep-08,23-Apr-14,1-Oct-10,Defaulted,Mossack Fonseca,United States
10011030,WORLDWIDE INVESTMENT SERVICES AND HOLDINGS INC.,WORLDWIDE INVESTMENT SERVICES AND HOLDINGS INC.,,Panama,MOSSFON TRUST CORPORATION APARTADO 0832-0886  WORLD TRADE CENTER PANAMA REP. DE PANAMA,29-Dec-98,18-Jul-11,15-Jan-13,Changed agent,Mossack Fonseca,Panama
10011489,ARISSON GROUP LIMITED,ARISSON GROUP LIMITED,,Nevada,"ARISSON GROUP LIMITED 520 S. 7TH STREET  SUITE C LAS VEGAS, NV 89101 U.  S.  A.",30-Apr-09,,,Active,Mossack Fonseca,United States
10011705,BARADUR CONSULTANTS L.L.C.,BARADUR CONSULTANTS L.L.C.,,Nevada,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,24-Mar-11,7-Nov-13,1-Apr-15,Dissolved,Mossack Fonseca,Bahamas
10011766,GOLDBEAN INC.,GOLDBEAN INC.,,Panama,MOSSFON TRUST CORPORATION APARTADO 0832-0886  WORLD TRADE CENTER PANAMA REP. DE PANAMA,7-Apr-98,5-Aug-11,15-Jul-12,Changed agent,Mossack Fonseca,Panama
10018986,"TECMANT RESALES, S.A.","TECMANT RESALES, S.A.",,Panama,MOSSFON TRUST CORPORATION APARTADO 0832-0886  WORLD TRADE CENTER PANAMA REP. DE PANAMA,29-Jun-01,14-Feb-03,29-Sep-02,Changed agent,Mossack Fonseca,Panama
10019177,LAKESIDE CONSULTANTS S.A.,LAKESIDE CONSULTANTS S.A.,,Panama,"TRONCOSO Y CACERES EPS A-126 PO BOX 025522 MIAMI, FLORIDA 33102-5522 UNITED STATES",15-May-01,30-Dec-14,15-Jul-16,Changed agent,Mossack Fonseca,United States
10031112,NORTH DRIVE BUSINESS CORP.,NORTH DRIVE BUSINESS CORP.,,Panama,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,13-Dec-03,26-Apr-11,15-Jan-13,Discontinued,Mossack Fonseca,Bahamas
10033360,UNION PROPERTIES INC.,UNION PROPERTIES INC.,,Panama,BOSTON CAPITAL VENTURES 84 STATE STREET; SUITE 320 BOSTON; MA 02109 TEL.: 617-938-3341 FAX: 617-227-3847 OR 4128,7-Mar-79,31-Aug-11,7-Jun-80,Changed agent,Mossack Fonseca,United States
10036936,ISLAND BROKERS LIMITED,ISLAND BROKERS LIMITED,,Niue,"CHARTERHOUSE LOMBARD LIMITED ISLE OF MAN 1ST FLOOR, VIKING HOUSE ST. PAUL'S SQUARE RAMSEY IM8 1LB ISLE OF MAN BRITISH ISLES",23-Feb-00,21-Jan-02,23-Oct-02,Defaulted,Mossack Fonseca,Isle of Man
10037395,ASHLAWN FINANCE LIMITED,ASHLAWN FINANCE LIMITED,,Niue,"CHARTERHOUSE LOMBARD LIMITED ISLE OF MAN 1ST FLOOR, VIKING HOUSE ST. PAUL'S SQUARE RAMSEY IM8 1LB ISLE OF MAN BRITISH ISLES",7-Jan-98,13-Mar-01,7-Sep-01,Defaulted,Mossack Fonseca,Isle of Man
10037676,CORELLI SERVICES GMBH,CORELLI SERVICES GMBH,,Niue,"CHARTERHOUSE LOMBARD LIMITED ISLE OF MAN 1ST FLOOR, VIKING HOUSE ST. PAUL'S SQUARE RAMSEY IM8 1LB ISLE OF MAN BRITISH ISLES",13-Jan-97,21-Jan-02,13-Sep-02,Defaulted,Mossack Fonseca,Isle of Man
10038251,GREENVALE PROPERTY HOLDINGS LTD.,GREENVALE PROPERTY HOLDINGS LTD.,,Niue,"CHARTERHOUSE LOMBARD LIMITED ISLE OF MAN 1ST FLOOR, VIKING HOUSE ST. PAUL'S SQUARE RAMSEY IM8 1LB ISLE OF MAN BRITISH ISLES",16-Apr-99,28-Dec-00,16-Dec-00,Defaulted,Mossack Fonseca,Isle of Man
10038886,KINGSCREST LIMITED,KINGSCREST LIMITED,,Niue,"CHARTERHOUSE LOMBARD LIMITED ISLE OF MAN 1ST FLOOR, VIKING HOUSE ST. PAUL'S SQUARE RAMSEY IM8 1LB ISLE OF MAN BRITISH ISLES",22-Jun-99,24-Feb-03,22-Feb-03,Defaulted,Mossack Fonseca,Isle of Man
10038958,WORLDWIDE TELCO LIMITED,WORLDWIDE TELCO LIMITED,,Niue,"WORLDWIDE TELCO LIMITED 520 S. 7TH STREET SUITE C LAS VEGAS, NV 89101 U.  S.  A.",21-Feb-96,11-Mar-98,21-Oct-97,Defaulted,Mossack Fonseca,United States
10038982,"TELE-GLOBAL COMMUNICATIONS, INC.","TELE-GLOBAL COMMUNICATIONS, INC.",,Niue,TELE-GLOBAL COMMUNICATIONS; INC. 520 S. 7TH STREET SUITE C LAS VEGAS; NV 89101 U.  S.  A.,28-Jun-96,11-Mar-98,28-Feb-98,Defaulted,Mossack Fonseca,United States
10039000,SMOKING PENPALS LIMITED,SMOKING PENPALS LIMITED,,Niue,"SMOKING PENPALS LIMITED 520 S. 7TH STREET SUITE C LAS VEGAS, NV 89101 U.  S.  A.",29-Sep-99,30-Oct-00,29-May-01,Defaulted,Mossack Fonseca,United States
10039182,AMBIENT TECHNOLOGIES LIMITED,AMBIENT TECHNOLOGIES LIMITED,,Niue,"AMBIENT TECHNOLOGIES LIMITED 520 S. 7TH STREET SUITE C LAS VEGAS, NV 89101 U.  S.  A.",27-Jan-00,19-Jun-01,27-Sep-01,Defaulted,Mossack Fonseca,United States
10039238,WALBRAY TRADING LTD.,WALBRAY TRADING LTD.,,Niue,WALBRAY TRADING LTD. 2332 GALINDO STREET  SUITE 206 CORAL GABLES  FLORIDA 33134,7-Feb-00,7-Feb-07,7-Oct-01,Defaulted,Mossack Fonseca,United States
10039935,CREATIVE CONNECTIONS LIMITED,CREATIVE CONNECTIONS LIMITED,,Niue,"CHARTERHOUSE LOMBARD LIMITED ISLE OF MAN 1ST FLOOR, VIKING HOUSE ST. PAUL'S SQUARE RAMSEY IM8 1LB ISLE OF MAN BRITISH ISLES",20-Jan-99,21-Jan-02,20-Sep-02,Defaulted,Mossack Fonseca,Isle of Man
10040591,LINNYSHAW MILL HOLDINGS LIMITED,LINNYSHAW MILL HOLDINGS LIMITED,,Niue,"CHARTERHOUSE LOMBARD LIMITED ISLE OF MAN 1ST FLOOR, VIKING HOUSE ST. PAUL'S SQUARE RAMSEY IM8 1LB ISLE OF MAN BRITISH ISLES",23-Mar-99,2-Mar-01,23-Nov-01,Defaulted,Mossack Fonseca,Isle of Man
10040753,NMS - RBS ADMINISTRATORS LIMITED,NMS - RBS ADMINISTRATORS LIMITED,,Niue,"CHARTERHOUSE LOMBARD LIMITED ISLE OF MAN 1ST FLOOR, VIKING HOUSE ST. PAUL'S SQUARE RAMSEY IM8 1LB ISLE OF MAN BRITISH ISLES",23-Feb-00,21-Jan-02,23-Oct-02,Defaulted,Mossack Fonseca,Isle of Man
10041055,ALPINO SECURITIES LIMITED,ALPINO SECURITIES LIMITED,,Niue,C/O BBVA MIAMI 2 SOUTH BISCAYNE BOULEVARD; ONE BISCAYNE TOWER - SUITE 3301 MIAMI; FL  33131,19-Feb-02,14-Dec-06,19-Oct-07,Inactivated,Mossack Fonseca,United States
10041498,SEAFIELD INTERNATIONAL LIMITED,SEAFIELD INTERNATIONAL LIMITED,,Niue,"CHARTERHOUSE LOMBARD LIMITED ISLE OF MAN 1ST FLOOR, VIKING HOUSE ST. PAUL'S SQUARE RAMSEY IM8 1LB ISLE OF MAN BRITISH ISLES",23-Apr-99,29-Mar-01,23-Dec-01,Defaulted,Mossack Fonseca,Isle of Man
10041519,BAYTREE FINANCE LIMITED,BAYTREE FINANCE LIMITED,,Niue,"BAYTREE FINANCE LIMITED 520 S. 7TH STREET SUITE C LAS VEGAS, NV 89101 U.  S.  A.",12-Apr-99,18-Apr-00,12-Dec-00,Defaulted,Mossack Fonseca,United States
10041549,KEA CONSULTANTS LIMITED,KEA CONSULTANTS LIMITED,,Niue,"CHARTERHOUSE LOMBARD LIMITED ISLE OF MAN 1ST FLOOR, VIKING HOUSE ST. PAUL'S SQUARE RAMSEY IM8 1LB ISLE OF MAN BRITISH ISLES",4-Aug-99,13-May-02,4-Apr-03,Defaulted,Mossack Fonseca,Isle of Man
10044267,CONCH ENTERPRISES S.A.,CONCH ENTERPRISES S.A.,,Panama,"CONCH ENTERPRISES S.A. 520 S. 7TH STREET  SUITE C LAS VEGAS, NV 89101 U.  S.  A.",5-Jan-06,21-Oct-10,15-Jul-08,In transition,Mossack Fonseca,United States
10045259,CITRON REAL ESTATE CORP.,CITRON REAL ESTATE CORP.,,Panama,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,13-Apr-06,19-Oct-12,15-Jul-12,Resigned as agent,Mossack Fonseca,Bahamas
10046749,HORLOGUE CORPORATION,HORLOGUE CORPORATION,,Panama,MOSSFON TRUST CORPORATION APARTADO 0832-0886  WORLD TRADE CENTER PANAMA REP. DE PANAMA,23-Oct-06,24-Oct-12,15-Jan-13,Changed agent,Mossack Fonseca,Panama
10048078,MAD HOLDINGS S.A.,MAD HOLDINGS S.A.,,Panama,"FORTUNE INTERNATIONAL REALTT 18660 COLLINS AVENUE #107 SUNNY ISLES BEACH, FLORIDA 33160 U.S.A.",17-Jul-07,24-Jan-13,15-Jan-13,Defaulted,Mossack Fonseca,United States
10049605,"HELI ANCON, S.A.","HELI ANCON, S.A.",,Panama,"HELI ANCON, S. A. HANGAR 11-A AEROPUERTO MARCOS A. GELABERT ALBROOK",12-Jul-07,14-May-14,15-Jan-10,Changed agent,Mossack Fonseca,United States
10050815,TREETOP PROPERTIES INC.,TREETOP PROPERTIES INC.,,Panama,BOSTON CAPITAL VENTURES 84 STATE STREET; SUITE 320 BOSTON; MA 02109 TEL.: 617-938-3341 FAX: 617-227-3847 OR 4128,14-Sep-07,9-Sep-11,15-Jan-10,Changed agent,Mossack Fonseca,United States
10053157,KERSLEY CORPORATION,KERSLEY CORPORATION,,Panama,MOSSFON MANAGERS (SERVICES) MOSSFON BUILDING EAST 54TH STREET P.O. BOX 0832-0886; W.T.C.  PANAMA; REPUBLIC OF PANAMA,24-Sep-07,,,Active,Mossack Fonseca,Panama
10071989,SERFINCORP LTD.,SERFINCORP LTD.,,British Virgin Islands,"SERFINCORP LTD. C/O SHIPNET 3-1168 P.O. BOX 02-5210 MIAMI, FL 33102-5210 *S.I.*",12-Apr-91,24-Jun-11,31-Oct-11,Dissolved,Mossack Fonseca,United States
10059011,FELBROOK FINANCE INC.,FELBROOK FINANCE INC.,,Panama,"FELBROOK FINANCE INC. 520 S. 7TH STREET  SUITE C LAS VEGAS, NV 89101 U.  S.  A.",25-Aug-08,,,Active,Mossack Fonseca,United States
10059981,"CONSERVATION TOURISM, LTD.","CONSERVATION TOURISM, LTD.",,British Virgin Islands,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,28-Jul-92,30-Aug-11,30-Apr-12,Changed agent,Mossack Fonseca,Bahamas
10061593,MURANO MANAGEMENT HOLDINGS INC.,MURANO MANAGEMENT HOLDINGS INC.,,Panama,ROCA/GONZALEZ; P.A. 3370 MARY STREET MIAMI; FL 33133 USA,29-Sep-08,21-May-12,15-Jan-14,Defaulted,Mossack Fonseca,United States
10062886,"MINIMAL ONE, INC.","MINIMAL ONE, INC.",,Panama,MINIMAL ONE; INC. MOSSFON BUILDING. 54TH STREET P.O. BOX 0832-0886; W.T.C.  PANAMA; REPUBLIC OF PANAMA,20-May-08,26-Aug-10,15-Jul-11,Inactivated,Mossack Fonseca,Panama
